Designator,Footprint,Quantity,Value,LCSC Part #
"B+1, B-1",TestPoint,2,TestPoint,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,9,Diode,
"H1, H2, H3, H4, H5",MountingHole_2.2mm_M2,5,Mounting_Hole,
"S1, S2, S3, S4, S5, S6, S7, S8",MX_Solder_1.00u,8,Keyswitch,
SW1,Encoder_EC11_MX,1,RotaryEncoder_Switch,
SW2,SW_Vertical_Slide_5mm,1,SW_SPDT_312,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
